# MT65536/apg024a016_07Abs1.zss [1-7]
# MT08192/apg024a016_07B.zss [1-12]
# MT00128/apg024a016_07C.zss [1-12]
# MT00064/apg024a016_07D.zss [3-16]
>STATION   :apg024a
>AZIMUTH   =    -18.0000
>LATITUDE  =   -23.97306
>LONGITUDE =   -51.48188
>ELEVATION =    662.0000

ZXX SI units (ohms)
45
    1.1161e-04    3.3912e-01    1.2588e+00    4.6509e-02   1
    1.5625e-04    4.6318e-01    1.0115e+00    3.7582e-02   1
    2.2321e-04   -6.6069e-03    2.1686e-02    1.8135e-02   1
    3.1250e-04   -4.9622e-02   -5.6066e-02    1.3423e-02   1
    4.4643e-04   -7.9496e-02   -6.0821e-02    2.5012e-02   1
    6.2500e-04   -9.8417e-02   -1.4023e-02    2.7186e-02   1
    8.9286e-04   -4.1424e-02    3.0624e-02    4.7209e-02   1
    1.1161e-03    3.6078e-03    1.7999e-02    8.2815e-03   1
    1.5625e-03    2.6781e-01    3.9683e-01    7.5804e-03   1
    2.2321e-03   -2.3441e-02   -5.8770e-02    7.9098e-04   1
    3.1250e-03   -3.5525e-03   -4.5675e-02    6.1810e-04   1
    4.4643e-03   -3.9456e-02   -5.0994e-02    1.9528e-03   1
    6.2500e-03   -4.3248e-02   -5.8402e-02    8.4631e-04   1
    8.9286e-03   -3.0319e-02   -4.4290e-02    6.9846e-04   1
    1.2500e-02   -2.7026e-02   -3.5998e-02    5.3964e-04   1
    1.7857e-02   -1.8770e-02   -2.9645e-02    6.3047e-04   1
    2.5000e-02   -1.7186e-02   -2.3272e-02    5.2912e-04   1
    3.5714e-02   -1.3446e-02   -2.1392e-02    5.8314e-04   1
    5.0000e-02   -1.0136e-02   -1.6554e-02    5.1308e-04   1
    7.1429e-02   -5.5665e-03   -1.4925e-02    6.6657e-05   1
    1.0000e-01   -2.4075e-03   -1.2129e-02    5.3815e-05   1
    1.4286e-01    3.3246e-04   -9.9014e-03    3.8400e-05   1
    2.0000e-01    3.7709e-03   -6.6906e-03    2.7209e-05   1
    2.8571e-01    4.6919e-03   -3.8272e-03    2.7791e-05   1
    4.0000e-01    4.5297e-03    1.2989e-03    3.0604e-05   1
    5.7143e-01    1.6331e-03    5.0402e-03    3.1576e-05   1
    8.0000e-01   -2.1820e-03    6.1677e-03    2.6764e-05   1
    1.1429e+00   -4.7857e-03    5.7217e-03    3.1390e-05   1
    1.6000e+00   -6.6171e-03    4.4754e-03    2.8448e-05   1
    2.2857e+00   -7.5921e-03    3.1483e-03    3.1215e-05   1
    3.2000e+00   -8.0212e-03    2.0478e-03    3.4002e-05   1
    4.5714e+00   -8.3064e-03    1.1877e-03    1.7448e-05   1
    6.4000e+00   -8.1924e-03    4.2116e-04    1.8797e-05   1
    9.1429e+00   -7.9491e-03   -8.6894e-05    2.9072e-05   1
    1.2800e+01   -7.5800e-03   -4.7231e-04    3.3222e-05   1
    1.8286e+01   -6.4662e-03   -6.2332e-04    6.9620e-05   1
    2.5600e+01   -4.4268e-03   -5.9408e-04    7.8472e-05   1
    3.6571e+01   -2.7297e-03   -6.3184e-04    1.0139e-04   1
    5.1200e+01   -2.5010e-03   -9.3570e-04    6.4507e-05   1
    7.3143e+01   -2.2793e-03   -1.1199e-03    5.4685e-05   1
    1.0240e+02   -2.0217e-03   -1.3004e-03    3.4656e-05   1
    1.4629e+02   -1.8096e-03   -1.3352e-03    4.6163e-05   1
    2.0480e+02   -1.4238e-03   -1.2629e-03    3.9370e-05   1
    2.9257e+02   -1.1486e-03   -1.2098e-03    5.6361e-05   1
    4.0960e+02   -7.1793e-04   -1.0445e-03    5.1975e-05   1
ZXY SI units (ohms)
45
    1.1161e-04    1.7634e+00    3.3430e+00    2.4570e-02   1
    1.5625e-04    1.1203e+00    2.2805e+00    2.1235e-02   1
    2.2321e-04    1.1556e-01    2.2332e-01    1.4047e-02   1
    3.1250e-04    1.6727e-02    1.5484e-02    9.7808e-03   1
    4.4643e-04    2.6144e-02    2.4602e-02    1.5100e-02   1
    6.2500e-04    2.4220e-02    6.6535e-03    1.7633e-02   1
    8.9286e-04    3.7095e-02    7.0735e-02    2.8942e-02   1
    1.1161e-03    8.2486e-02    7.4105e-02    7.1489e-03   1
    1.5625e-03    3.3380e-01    3.3634e-01    3.3610e-03   1
    2.2321e-03    4.7972e-01    5.1175e-01    1.8192e-03   1
    3.1250e-03    4.1073e-01    4.7451e-01    9.5508e-04   1
    4.4643e-03    3.7091e-01    4.3365e-01    9.1701e-04   1
    6.2500e-03    3.0140e-01    3.7342e-01    5.0992e-04   1
    8.9286e-03    2.4047e-01    3.0739e-01    4.4641e-04   1
    1.2500e-02    1.9507e-01    2.5647e-01    3.9223e-04   1
    1.7857e-02    1.5350e-01    2.0440e-01    5.6168e-04   1
    2.5000e-02    1.2545e-01    1.7005e-01    4.5852e-04   1
    3.5714e-02    1.0044e-01    1.3785e-01    4.9604e-04   1
    5.0000e-02    8.1043e-02    1.1323e-01    4.9553e-04   1
    7.1429e-02    6.0851e-02    8.9107e-02    6.0467e-05   1
    1.0000e-01    4.5562e-02    7.2389e-02    7.7337e-05   1
    1.4286e-01    3.5624e-02    5.9639e-02    5.8822e-05   1
    2.0000e-01    2.6257e-02    4.7138e-02    8.3525e-05   1
    2.8571e-01    2.0344e-02    3.8053e-02    1.0147e-04   1
    4.0000e-01    1.5929e-02    2.8490e-02    9.9546e-05   1
    5.7143e-01    1.3471e-02    2.1154e-02    1.1259e-04   1
    8.0000e-01    1.2014e-02    1.5584e-02    1.1295e-04   1
